date,n_events_total,n_events_oil,oil_goldstein_mean,oil_goldstein_std,oil_tone_mean,oil_tone_std,oil_mentions_sum,oil_articles_sum,oil_verbal_coop,oil_material_coop,oil_verbal_conflict,oil_material_conflict,oil_n_conflict_events,oil_conflict_goldstein,oil_conflict_share,oil_material_conflict_share,oil_net_coop,global_goldstein_mean,global_tone_mean
2025-10-18,84651,34854,0.4992282091008205,4.659036018879971,-2.204804070265726,3.826650127565155,353109,340968,21403,3635,5226,4590,5279,-7.58672096988066,0.2816319504217593,0.13169220175589602,0.4367360991564813,0.5480117663736886,-2.0032039988348878
2025-10-19,69859,26013,0.3985238150155691,4.677606567778595,-2.2395416049060133,3.8330214874152846,281890,267077,15730,2630,4356,3297,4040,-7.592846534653465,0.29419905431899435,0.1267443201476185,0.4116018913620113,0.3849883336434819,-2.137901614841844
2025-10-20,114528,44350,0.6631770011273956,4.631810134165166,-1.976846083362495,4.126326423035356,417492,401981,27530,4934,6040,5846,6118,-7.676119646943445,0.2680045095828636,0.131815107102593,0.4639909808342728,0.7323385082863281,-1.6695322957329832
2025-10-21,138039,54657,0.6573540443127138,4.652606950626955,-2.032086844612801,4.095793663139329,592274,578319,33626,6301,7131,7599,7471,-7.694686119662696,0.2694988748010319,0.13903068225478896,0.46100225039793624,0.6934699613877238,-1.803442212682613
2025-10-22,140738,55079,0.6689809183173261,4.639904454850208,-1.9527482085015764,4.115943181949636,530368,516454,34204,6309,6920,7646,7171,-7.820792079207921,0.2644565079249805,0.138818787559687,0.471086984150039,0.6794994955164916,-1.7729415136740398
2025-10-23,137541,54874,0.5617851805955462,4.682443522439569,-2.0750741119016634,4.123669327138219,551934,538706,33035,6711,6979,8149,7152,-7.809368008948546,0.27568611728687537,0.14850384517257717,0.4486277654262492,0.671488814081824,-1.7513971994238888
2025-10-24,134776,54270,0.5789810208218168,4.663396905753621,-2.095160915532775,4.087337589129979,555377,539029,32560,6595,7147,7968,7136,-7.700168161434977,0.2785148332412014,0.14682144831398564,0.4429703335175972,0.6828070279574998,-1.7846039752085352
2025-10-25,83877,32408,0.6421377437669711,4.632595098847528,-1.91089281710938,3.9761039777839606,312713,304839,20076,3785,3959,4588,4059,-7.891525006159152,0.2637311774870402,0.14156998272031598,0.47253764502591955,0.6885463237836356,-1.7595924729176726
2025-10-26,75194,24602,0.7941712055930412,4.6584938709589006,-1.5322406214839075,3.868139190957342,226421,222004,15939,2618,2714,3331,3022,-8.041958967571146,0.24571173075359726,0.13539549630111372,0.5085765384928055,0.9068010745538208,-1.4015189359693703
2025-10-27,125026,43376,0.7776443194393214,4.622457526444388,-1.5903160522431903,4.04976130672112,421783,411412,27231,5123,5200,5822,5370,-7.8770018621973925,0.25410365178900773,0.13422168941350054,0.49179269642198453,0.8710140290819509,-1.3886565857460689
2025-10-28,139111,51563,0.7379089657312414,4.6736530302324955,-1.7977484259492935,4.2120728383206325,490026,476149,31587,6440,6179,7357,6808,-7.794403642773209,0.262513818047825,0.14267982855923822,0.47497236390435,0.7815571737677106,-1.6446067054270121
2025-10-29,141855,52856,0.7055945511304512,4.634952366026608,-1.839983748894133,4.197818266539477,548317,529473,32144,6634,6594,7484,7017,-7.70380504489098,0.26634629937944604,0.14159225064325714,0.4673074012411079,0.7144771626565903,-1.7949137175308967
2025-10-30,141719,54644,0.8164958641387893,4.594941418875922,-1.8425708623494828,4.039081273512119,527664,515320,33636,7058,6472,7478,6894,-7.694574992747316,0.25528877827391844,0.1368494253714955,0.48942244345216307,0.8127202421693632,-1.6557499194740395
2025-10-31,131084,51082,0.7219655442443226,4.668066438447446,-1.9361797827633178,4.05585025186285,531034,514958,30870,6740,6199,7273,6826,-7.765104014063872,0.2637328217375984,0.1423789201675737,0.47253435652480325,0.780112448696236,-1.6864282202301057
2025-11-01,83127,32008,0.676156105486814,4.669090226938806,-1.9371776234479146,4.012487585576967,299988,291445,19544,3992,3979,4493,4134,-7.974818577648767,0.2646838290427393,0.14037115721069732,0.47063234191452136,0.6994261516066552,-1.804269421466983
2025-11-02,68125,24934,0.6776873094817905,4.707990886759922,-1.89473237205739,3.9851478264155067,228994,223715,15738,2744,3092,3360,3149,-8.307684979358527,0.25876313467554346,0.13475575519371139,0.48247373064891313,0.6186089866858476,-1.9331053433744536
2025-11-03,122070,47384,0.7779663163226543,4.649732075656362,-1.8564394687084054,4.155204616648453,467050,455507,29475,5760,5938,6211,5952,-8.011038306451612,0.25639456356576057,0.13107800101300016,0.4872108728684788,0.7449601861257659,-1.762584379790548
2025-11-04,128477,51694,0.6982743611073494,4.584996278084906,-1.6686513509388539,4.137399343563147,591591,569520,31686,6405,6822,6781,6448,-7.862298387096775,0.2631446589546176,0.13117576507911943,0.4737106820907649,0.7694623036567709,-1.5421545949175326
2025-11-05,133217,55056,0.9101369514675967,4.4540988023894785,-1.3351294958777185,4.027061017679271,606029,588683,34699,6918,7049,6390,6068,-7.862491760052737,0.2440969195001453,0.11606364428945073,0.5118061609997094,0.8559823445956598,-1.3674586514434945
2025-11-06,134153,54293,0.7668754144256981,4.5554055765992345,-1.5478330772252498,4.168179118960679,597945,579647,33815,6640,6775,7063,6723,-7.896757399970252,0.2548763192308401,0.1300904352310611,0.4902473615383199,0.748443556562705,-1.5952433116488516
2025-11-07,127861,51244,0.8928108656623214,4.5359965982240515,-1.6364673371792269,4.138291907087887,522473,505663,32422,6162,5964,6696,6122,-7.804426657954917,0.24705331355866053,0.13066895636562328,0.505893372882679,0.8224986508786886,-1.582806031810011
2025-11-08,82091,32513,0.7113923661304709,4.6105432850403165,-1.8490531824025573,4.0984780383814705,342190,330538,20256,3794,3992,4471,4039,-7.939688041594454,0.2602958816473411,0.13751422507919908,0.47940823670531785,0.5888086246802291,-1.8538305271133357
2025-11-09,68112,24263,0.8316407698965502,4.601935073507603,-1.584173501879331,4.129434679251011,222435,210388,15573,2672,2820,3198,2952,-8.106131436314364,0.2480319828545522,0.13180562997156164,0.5039360342908956,0.6200786939159033,-1.6905339333311689
2025-11-10,115696,42442,0.9015951180434475,4.561720961629653,-1.5041476949223522,4.132742544184096,475491,465183,26740,5215,5192,5295,4874,-8.065244152646697,0.24709014655294284,0.12475849394467745,0.5058197068941144,0.7457708131655374,-1.5922641432509563
2025-11-11,128457,48280,0.7785356255178127,4.606368617165945,-1.4696968322303157,4.145903634874319,488924,476211,30554,5709,5579,6438,6082,-7.975419269976982,0.2489022369511185,0.13334714167357084,0.5021955260977631,0.6810746008391912,-1.6896817102750776
2025-11-12,129226,48439,0.7899337310844569,4.535747037804339,-1.4739469631762965,4.188799005970681,496019,480361,30442,5752,5937,6308,5910,-7.772978003384095,0.2527921715972667,0.1302256446251987,0.4944156568054667,0.7559755776701282,-1.5822683974877778
2025-11-13,129209,48739,0.7693202568784752,4.538723811926402,-1.7481705545014292,4.165959523067548,518981,503602,30248,6100,6062,6329,5894,-7.763403461146929,0.25423172408133116,0.1298549416278545,0.49153655183733763,0.7095442267953471,-1.6452834958660634
2025-11-14,121424,46432,0.6311940041350792,4.611250405597738,-1.7087589375805492,4.239214549238293,451328,438413,28631,5474,5860,6467,6111,-7.79104892816233,0.2654850103376981,0.1392789455547898,0.4690299793246037,0.7056916260376861,-1.5359087464939487
2025-11-15,75959,30464,0.6236804096638655,4.663320000161543,-1.8529560243404033,4.304302609922362,309563,298762,18846,3738,3445,4435,4261,-7.863177657826801,0.25866596638655465,0.14558167016806722,0.48266806722689076,0.6444134335628431,-1.7028504785718694
2025-11-16,64898,24062,0.710801263402876,4.659949837310395,-1.727371649730811,4.018707218352617,227725,221045,15192,2731,2979,3160,3068,-8.153585397653194,0.25513257418335966,0.1313274042058017,0.4897348516332807,0.5894680883848501,-1.7875956953935959
2025-11-17,116159,43003,0.7799874427365532,4.694789776830347,-1.710764585788745,4.201634170046982,457536,441554,26803,5252,4992,5956,5693,-7.9623748463024775,0.25458688928679396,0.1385019649791875,0.49082622142641213,0.7156578482941485,-1.8185105759250466
2025-11-18,130996,52061,0.7755306275330861,4.640019710443084,-1.585146899945124,4.219489309509338,567802,551532,32213,6387,6251,7210,6788,-7.861255156157926,0.2585620714162233,0.13849138510593342,0.48287585716755344,0.6978945439832662,-1.641509131040049
2025-11-19,136190,55152,0.6568138961415724,4.630751512821124,-1.6920516238262269,4.233047683640697,591345,563718,34109,6384,6849,7810,7329,-7.87534452176286,0.2657927183057731,0.14160864519872352,0.4684145633884537,0.673901326852049,-1.630180181542094
2025-11-20,135374,53743,0.6701412276947696,4.556673576237997,-1.8966155048112112,4.17374135677494,562233,541329,33285,6211,6793,7454,7085,-7.656880733944954,0.26509498911486146,0.13869713264983347,0.4698100217702771,0.682741630470112,-1.7580417378629885
2025-11-21,130775,52702,0.6030719896778112,4.597325179843513,-1.9949914143954204,4.052483076738232,582450,566453,32518,5960,6573,7651,7210,-7.65368932038835,0.2698948806496907,0.1451747561762362,0.46021023870061856,0.6572838845345057,-1.7417064036026355
2025-11-22,85216,34570,0.5423343939832225,4.7299949652233035,-2.09385240469196,3.993136131210565,379298,369523,21275,3750,4321,5224,4941,-7.8568508399109485,0.2761064506797802,0.15111368238356956,0.4477870986404397,0.5850755726624108,-1.8005309753038228
2025-11-23,75124,27701,0.6942854048590305,4.662502718728562,-1.8292196383951136,3.832143290415828,279261,272816,17701,2950,3302,3748,3427,-8.16270790779107,0.2545034475289701,0.1353019746579546,0.49099310494205983,0.6710598477184389,-1.6995138084529815
2025-11-24,118005,44143,0.6862039281426274,4.635382783908569,-1.7464901668988753,4.174147508324987,431233,419428,27776,4879,5210,6278,5874,-7.863551242764726,0.26024511247536414,0.14221960446729945,0.47950977504927167,0.6520105080293208,-1.564468148130262
2025-11-25,127926,48921,0.7136076531550868,4.654481200412979,-1.8183084768564435,4.217599049122644,482929,466588,30497,5611,5775,7038,6676,-7.737732174955064,0.2619120623045318,0.14386459802538787,0.4761758753909364,0.6878867470256241,-1.652733084830575
2025-11-26,124693,47956,0.7904308115772792,4.603085143813165,-1.7705726988565587,4.156488443497252,450698,439472,29943,5735,5701,6577,6283,-7.702801209613241,0.25602635749436986,0.137146551005088,0.48794728501126033,0.7385129878982781,-1.7199807801126072
2025-11-27,102075,33786,0.538154857041378,4.795299313196832,-2.014811801482134,4.215223140599988,359425,351203,20525,4010,4049,5202,4794,-8.168418856904465,0.27381163795655006,0.15396909962706445,0.4523767240868999,0.6112574087680626,-1.77653405611912
